CÓDIGO OACI,TIPO,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE,ALTITUDE,OPERAÇÃO,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,RAMPA(S) DE APROXIMAÇÃO,FORMATO DA ÁREA DE POUSO,DIMENSÕES,RESISTÊNCIA,SUPERFÍCIE,p1,p2,p3,p4,PORTARIAS,,,,Portaria Nº 291/2016 ,Portaria Nº 2007/2014 e alterações ,OBSERVAÇÃO
SBBH,AERÓDROMO,PAMPULHA - CARLOS DRUMMOND DE ANDRADE,BELO HORIZONTE,MG,19° 51' 7'' S,43° 57' 2'' W,789 m,VFR Diurno/Noturno e IFR Diurno/Noturno,13/31,2538 m,45 m,PCN 44/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1964-0121,0,0,0,PD1964-0121,,,,AP-1,2ª,-
SBBI,AERÓDROMO,BACACHERI,CURITIBA,PR,25° 24' 12'' S,49° 14' 1'' W,932 m,VFR Diurno/Noturno e IFR Diurno/Noturno,18/36,1390 m,31 m,PCN 21/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2016-0533,0,0,0,PA2016-0533,,,,AP-0,3ª,-
SBBP,AERÓDROMO,ESTADUAL ARTHUR SIQUEIRA,BRAGANÇA PAULISTA,SP,22° 58' 45'' S,46° 31' 15'' W,880 m,VFR Diurno/Noturno,16/34,1200 m,30 m,PCN 16/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-0512,0,0,0,PA2014-0512,,,,AP-0,4ª,-
SBBQ,AERÓDROMO,MAJOR BRIGADEIRO DO AR DOORGAL GOMES,BARBACENA,MG,21° 16' 2'' S,43° 45' 38'' W,1115 m,VFR Diurno/Noturno e IFR Diurno/Noturno,18/36,1760 m,30 m,PCN 14/F/A/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2006-0221-GC,0,0,0,PD2006-0221-GC,,,,AD,-,-
SBBR,AERÓDROMO,PRESIDENTE JUSCELINO KUBITSCHEK,BRASÍLIA,DF,15° 52' 16'' S,47° 55' 7'' W,1066 m,VFR Diurno/Noturno e IFR Diurno/Noturno,11L/29R,3200 m,45 m,PCN 76/F/B/X/T,Asfalto,11R/29L,3300 m,45 m,PCN 68/F/B/W/T,Asfalto,-,-,-,-,-,-,-,-,-,-,PA2012-2422,0,0,0,PA2012-2422,,,,AP-3,-,-
SBBU,AERÓDROMO,BAURU,BAURU,SP,22° 20' 37'' S,49° 3' 14'' W,617 m,VFR Diurno/Noturno e IFR Diurno/Noturno,14/32,1500 m,35 m,PCN 13/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1959-0022,0,0,0,PD1959-0022,,,,AP-0,3ª,-
SBBV,AERÓDROMO,ATLAS BRASIL CANTANHEDE,BOA VISTA,RR,2° 50' 29'' N,60° 41' 32'' W,84 m,VFR Diurno/Noturno e IFR Diurno/Noturno,7/25,2700 m,45 m,PCN 38/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1975-0144,0,0,0,PD1975-0144,,,,AP-1,1ª,-
SBBW,AERÓDROMO,BARRA DO GARÇAS,BARRA DO GARÇAS,MT,15° 51' 39'' S,52° 23' 22'' W,350 m,VFR Diurno/Noturno e IFR Diurno/Noturno,7/25,1598 m,30 m,PCN 20/F/C/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1986-0434,PD1987-0312,0,0,PD1986-0434,PD1987-0312,,,AD,-,-
SBCA,AERÓDROMO,CORONEL ADALBERTO MENDES DA SILVA,CASCAVEL,PR,25° 0' 8'' S,53° 30' 7'' W,754 m,VFR Diurno/Noturno e IFR Diurno/Noturno,15/33,1615 m,30 m,PCN 25/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-3092,0,0,0,PA2015-3092,,,,AP-1,3ª,-
SBCB,AERÓDROMO,CABO FRIO,CABO FRIO,RJ,22° 55' 15'' S,42° 4' 17'' W,"6,6 m",VFR Diurno/Noturno e IFR Diurno/Noturno,10/28,2550 m,45 m,PCN 76/F/C/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-2498,0,0,0,PA2014-2498,,,,AP-1,2ª,-
