CODE,FLIGHTNUMBER,ADDEP,ORIGEM,ADDES,DESTINO,DATA,ROUTE,FIXOENTRADA,FIXOSAIDA,NIVEL
PTEIDSBTTSWII,PTEID,SBTT,TABATINGA,SWII,SANTOANTÔNIODOIÇÁ,01-AUG-1508.13.48.000000000PM,DCT AU006 H323,R117,ETA,F160
PTWOESBCYSWIL,PTWOE,SBCY,CUIABÁ,SWIL,PEDRAPRETA,01-AUG-1504.00.00.000000000PM,DCT H309 ML003,R146,ML003,F180
PTLNUSBCYSWJN,PTLNU,SBCY,CUIABÁ,SWJN,JUÍNA,01-AUG-1503.10.12.000000000PM,CT JNV DCT,TMA,ETA,A005
PTVBHSBCYSWJN,PTVBH,SBCY,CUIABÁ,SWJN,JUÍNA,01-AUG-1505.15.00.000000000PM,DCT,MOMVA,ETA,F160
PTFJASWSDSWJN,PTFJA,SWSD,ARAGUAIANA,SWJN,JUÍNA,01-AUG-1508.40.12.000000000PM,DCT,SDWQ,SNCJ,A025
PRVMJSBCASWJW,PRVMJ,SBCA,CASCAVEL,SWJW,JATAÍ,01-AUG-1502.45.00.000000000PM,EA 2354S05035W/N0170F115 DCT P,TMA,ETA,F095
PRVOOSBCYSWKC,PRVOO,SBCY,CUIABÁ,SWKC,CÁCERES,01-AUG-1502.43.48.000000000PM,DCT,SDWQ,SNCJ,A025
PRSIGSWPYSWKG,PRSIG,SWPY,PRIMAVERADOLESTE,SWKG,NOVAUBIRATÃ,01-AUG-1511.00.00.000000000AM,DCT,SDWQ,SNCJ,A025
PTEZOSBEGSWKO,PTEZO,SBEG,MANAUS,SWKO,COARI,01-AUG-1501.15.00.000000000PM,CT JNV DCT,TMA,ETA,A005
PTVKBSWFNSWKO,PTVKB,SWFN,MANAUS,SWKO,COARI,01-AUG-1503.13.00.000000000PM,DCT,MOMVA,ETA,F160
PTREISWFNSWKO,PTREI,SWFN,MANAUS,SWKO,COARI,01-AUG-1512.40.00.000000000PM,DCT,MOMVA,ETA,F160
PTVKBSWFNSWKO,PTVKB,SWFN,MANAUS,SWKO,COARI,01-AUG-1511.55.00.000000000AM,DCT,MOMVA,ETA,F160
PRSLDSWFNSWKO,PRSLD,SWFN,MANAUS,SWKO,COARI,01-AUG-1506.30.12.000000000PM,TGL SBML H323,R194,SBML,F080
PTWTESBGOSWKT,PTWTE,SBGO,GOIÂNIA,SWKT,CATALÃO,01-AUG-1501.25.23.000000000PM,DCT H309 ML003,R146,ML003,F180
PRMGBSBGOSWKT,PRMGB,SBGO,GOIÂNIA,SWKT,CATALÃO,01-AUG-1507.24.31.000000000PM,TGL SBML H323,R194,SBML,F080
PRFKYSBGOSWKT,PRFKY,SBGO,GOIÂNIA,SWKT,CATALÃO,01-AUG-1505.30.00.000000000PM,040AGL SECT S,SDYJ,SDYJ,VFR
PTWTESBGOSWKT,PTWTE,SBGO,GOIÂNIA,SWKT,CATALÃO,01-AUG-1501.50.12.000000000PM,DCT H309 ML003,R146,ML003,F180
PTOJGSNFZSWKT,PTOJG,SNFZ,BOCAIÚVA,SWKT,CATALÃO,01-AUG-1510.40.12.000000000AM,DCT,MOMVA,ETA,F160
PRMGBSBGOSWKT,PRMGB,SBGO,GOIÂNIA,SWKT,CATALÃO,01-AUG-1507.30.00.000000000PM,TGL SBBU M330 SBAQ,M320,BRU,F070
PRAFSSWNSSWKT,PRAFS,SWNS,ANÁPOLIS,SWKT,CATALÃO,01-AUG-1505.34.48.000000000PM,TGL SBAE H300,SBAE,ETA,F045
PPWBFSWNSSWKT,PPWBF,SWNS,ANÁPOLIS,SWKT,CATALÃO,01-AUG-1503.37.55.000000000PM,DCT AE014,MOMVA,ETA,F180
PRAFSSWNSSWKT,PRAFS,SWNS,ANÁPOLIS,SWKT,CATALÃO,01-AUG-1505.01.25.000000000PM,DCT AE014,MOMVA,ETA,F180
PTMBOSBGOSWLC,PTMBO,SBGO,GOIÂNIA,SWLC,RIOVERDE,01-AUG-1502.30.47.000000000PM,DCT,MOMVA,ETA,F160
PTMBOSBGOSWLC,PTMBO,SBGO,GOIÂNIA,SWLC,RIOVERDE,01-AUG-1501.50.00.000000000PM,DCT,MOMVA,ETA,F160
PTKMLSBCYSWLV,PTKML,SBCY,CUIABÁ,SWLV,SANTOANTÔNIODOLEVERGER,01-AUG-1510.35.14.000000000AM,DCT,MOMVA,ETA,F160
PTJFTSIUBSWLV,PTJFT,SIUB,SORRISO,SWLV,SANTOANTÔNIODOLEVERGER,01-AUG-1501.16.20.000000000PM,DCT RNAV35,MOMVA,AE024,F180
PTNYCSIQJSWLV,PTNYC,SIQJ,CHAPADADOSGUIMARÃES,SWLV,SANTOANTÔNIODOLEVERGER,01-AUG-1507.00.00.000000000PM,DCT RNAV35,MOMVA,AE024,F180
PPMLNSWHPSWLV,PPMLN,SWHP,ÁGUABOA,SWLV,SANTOANTÔNIODOLEVERGER,01-AUG-1511.15.00.000000000AM,DCT H309 ML003,R146,ML003,F180
PUGLTSIXMSWLV,PUGLT,SIXM,ITAITUBA,SWLV,SANTOANTÔNIODOLEVERGER,01-AUG-1501.02.41.000000000PM,DCT H309 ML003,R146,ML003,F180
PUGLTSIXMSWLV,PUGLT,SIXM,ITAITUBA,SWLV,SANTOANTÔNIODOLEVERGER,01-AUG-1501.55.12.000000000PM,DCT H309 ML003,R146,AE024,F100
PTJFTSIUBSWLV,PTJFT,SIUB,SORRISO,SWLV,SANTOANTÔNIODOLEVERGER,01-AUG-1512.10.00.000000000PM,LIT,CBDLO,SOLO,F030
PRGRLSBGOSWME,PRGRL,SBGO,GOIÂNIA,SWME,MINEIROS,01-AUG-1504.26.12.000000000PM,DCT H267,MOMVA,ETA,F080
PRMFRSWPDSWMK,PRMFR,SWPD,BONFIM,SWMK,SÃOGABRIELDACACHOEIRA,01-AUG-1504.10.12.000000000PM,LIT,CBDLO,SOLO,F030
PRMFRSBUASWMK,PRMFR,SBUA,SÃOGABRIELDACACHOEIRA,SWMK,SÃOGABRIELDACACHOEIRA,01-AUG-1505.55.12.000000000PM,LIT,CBDLO,SOLO,F030
PRIERSBBRSWNB,PRIER,SBBR,BRASÍLIA,SWNB,NOBRES,01-AUG-1505.50.00.000000000PM,LIT,CBDLO,SOLO,F030
PTFRASBBRSWNB,PTFRA,SBBR,BRASÍLIA,SWNB,NOBRES,01-AUG-1504.00.00.000000000PM,DCT H328,EET,ETA,F065
PRMVBSBBRSWNH,PRMVB,SBBR,BRASÍLIA,SWNH,ARUANÃ,01-AUG-1512.16.00.000000000PM,DCT,TMA,TMA,F140
PRMVBSBBRSWNH,PRMVB,SBBR,BRASÍLIA,SWNH,ARUANÃ,01-AUG-1512.56.12.000000000PM,DCT,TMA,TMA,F140
PUWBSSWNVSWNH,PUWBS,SWNV,GOIÂNIA,SWNH,ARUANÃ,01-AUG-1510.31.23.000000000AM,H300,R180,ETA,F180
PTVMMSBGOSWNH,PTVMM,SBGO,GOIÂNIA,SWNH,ARUANÃ,01-AUG-1502.03.18.000000000PM,DCT,TMA,TMA,F140
PRJVCSWNVSWNH,PRJVC,SWNV,GOIÂNIA,SWNH,ARUANÃ,01-AUG-1501.14.42.000000000PM,DCT H310,R145,ML003,F180
PTVCNSBGOSWNS,PTVCN,SBGO,GOIÂNIA,SWNS,ANÁPOLIS,01-AUG-1512.09.02.000000000PM,DCT H309 ML003,R146,AE024,F100
PRAFSSIWRSWNS,PRAFS,SIWR,NOVACRIXÁS,SWNS,ANÁPOLIS,01-AUG-1501.00.00.000000000PM,DCT H310,R145,ML003,F180
PTVGVSWUASWNS,PTVGV,SWUA,SÃOMIGUELDOARAGUAIA,SWNS,ANÁPOLIS,01-AUG-1501.48.31.000000000PM,DCT H309 ML003,R146,AE024,F100
PPWBFSWNVSWNS,PPWBF,SWNV,GOIÂNIA,SWNS,ANÁPOLIS,01-AUG-1502.11.04.000000000PM,DCT AE014,AE014,ETA,F320
PPBOZSWNSSWNS,PPBOZ,SWNS,ANÁPOLIS,SWNS,ANÁPOLIS,01-AUG-1501.13.26.000000000PM,DCT H309 ML003,R146,AE024,F100
PPBOZSWNSSWNS,PPBOZ,SWNS,ANÁPOLIS,SWNS,ANÁPOLIS,01-AUG-1505.21.54.000000000PM,DCT H309 ML003,R146,AE024,F100
PPBOZSWNSSWNS,PPBOZ,SWNS,ANÁPOLIS,SWNS,ANÁPOLIS,01-AUG-1508.45.03.000000000PM,DCT AE024 1000FT,MOMVA,AE024,F320
PPBOZSWNSSWNS,PPBOZ,SWNS,ANÁPOLIS,SWNS,ANÁPOLIS,01-AUG-1504.03.37.000000000PM,DCT AE024 1000FT,MOMVA,AE024,F320
PTVPESWGISWNS,PTVPE,SWGI,GURUPI,SWNS,ANÁPOLIS,01-AUG-1505.32.42.000000000PM,LIT,TBB,ETA,A010
PUSSYSBGVSWNV,PUSSY,SBGV,GOVERNADORVALADARES,SWNV,GOIÂNIA,01-AUG-1507.09.12.000000000PM,H300,R180,ETA,F180
PTNAHSBGOSWNV,PTNAH,SBGO,GOIÂNIA,SWNV,GOIÂNIA,01-AUG-1506.43.35.000000000PM,H300,R180,ETA,F180
PPFLHSWNVSWNV,PPFLH,SWNV,GOIÂNIA,SWNV,GOIÂNIA,01-AUG-1508.41.26.000000000PM,DCT MRA,R138,ML003,F180
PUBMCSWGISWNV,PUBMC,SWGI,GURUPI,SWNV,GOIÂNIA,01-AUG-1504.06.55.000000000PM,H300,R180,ETA,F180
PTYNASWNVSWNV,PTYNA,SWNV,GOIÂNIA,SWNV,GOIÂNIA,01-AUG-1511.31.09.000000000AM,H300,R180,ETA,F180
PUXRVSWNVSWNV,PUXRV,SWNV,GOIÂNIA,SWNV,GOIÂNIA,01-AUG-1508.33.14.000000000PM,H300,R180,ETA,F180
PTYNASWNVSWNV,PTYNA,SWNV,GOIÂNIA,SWNV,GOIÂNIA,01-AUG-1508.16.45.000000000PM,H300,R180,ETA,F180
PTRZNSJSRSWNV,PTRZN,SJSR,MARAROSA,SWNV,GOIÂNIA,01-AUG-1508.43.03.000000000PM,EH 2347S04647W  DCT 2419S04700,ETA,ETA,A005
PTNQZSWFXSWNV,PTNQZ,SWFX,SÃOFÉLIXDOARAGUAIA,SWNV,GOIÂNIA,01-AUG-1507.49.22.000000000PM,DCT,SDLU,ETA,F085
PTVIMSWNVSWNV,PTVIM,SWNV,GOIÂNIA,SWNV,GOIÂNIA,01-AUG-1508.59.14.000000000PM,DCT,SDLU,ETA,F085
PPFLHSWNVSWNV,PPFLH,SWNV,GOIÂNIA,SWNV,GOIÂNIA,01-AUG-1503.02.18.000000000PM,DCT PFD090020/N0280F310 IFR DC,QD084,EET,F290
PTYLISWNVSWNV,PTYLI,SWNV,GOIÂNIA,SWNV,GOIÂNIA,01-AUG-1502.16.09.000000000PM,DCT,SDLU,ETA,F085
PTYNASWNVSWNV,PTYNA,SWNV,GOIÂNIA,SWNV,GOIÂNIA,01-AUG-1506.38.27.000000000PM,DCT,SDLU,ETA,F085
PPFLHSWNVSWNV,PPFLH,SWNV,GOIÂNIA,SWNV,GOIÂNIA,01-AUG-1501.13.02.000000000PM,DCT SVD,CANAV,CORAL,A035
PTYNASWNVSWNV,PTYNA,SWNV,GOIÂNIA,SWNV,GOIÂNIA,01-AUG-1501.38.29.000000000PM,DCT,SDLU,ETA,F085
PTRFRSBEGSWOB,PTRFR,SBEG,MANAUS,SWOB,FONTEBOA,01-AUG-1507.30.00.000000000PM,DCT,SDLU,ETA,F085
PTGKXSBEGSWOB,PTGKX,SBEG,MANAUS,SWOB,FONTEBOA,01-AUG-1506.15.00.000000000PM,DCT PORTO FELIZ,EET,ETA,F055
PRGSMSBVHSWOB,PRGSM,SBVH,VILHENA,SWOB,FONTEBOA,01-AUG-1505.04.48.000000000PM,DCT,SNCJ,SDWQ,F035
PTRTYSWENSWOK,PTRTY,SWEN,ALTAFLORESTA,SWOK,ITIQUIRA,01-AUG-1512.26.00.000000000PM,DCT,SDLU,ETA,F085
PTOJDSWUQSWPD,PTOJD,SWUQ,ALTOALEGRE,SWPD,BONFIM,01-AUG-1507.54.00.000000000PM,DCT,SDLU,ETA,F085
PTKAGSWUQSWPD,PTKAG,SWUQ,ALTOALEGRE,SWPD,BONFIM,01-AUG-1504.40.00.000000000PM,DCT,SDLU,ETA,F085
PTFBOSJLUSWPD,PTFBO,SJLU,CARACARAÍ,SWPD,BONFIM,01-AUG-1506.00.00.000000000PM,DCT PORTO FELIZ,EET,ETA,F055
PTKGCSWUQSWPD,PTKGC,SWUQ,ALTOALEGRE,SWPD,BONFIM,01-AUG-1507.35.00.000000000PM,DCT,SDLU,ETA,F085
PRNYASWUQSWPD,PRNYA,SWUQ,ALTOALEGRE,SWPD,BONFIM,01-AUG-1505.50.00.000000000PM,DCT,SDLU,ETA,F085
PTVGZSBBRSWPP,PTVGZ,SBBR,BRASÍLIA,SWPP,MOZARLÂNDIA,01-AUG-1509.30.00.000000000AM,DCT,R145,ML011,F180
PTVGZSBBRSWPP,PTVGZ,SBBR,BRASÍLIA,SWPP,MOZARLÂNDIA,01-AUG-1510.30.00.000000000AM,DCT,R145,ML011,F180
PTVMSSBCZSWPV,PTVMS,SBCZ,CRUZEIRODOSUL,SWPV,PLANALTINA,01-AUG-1506.41.48.000000000PM,DCT,R145,ML011,F180
PTFJASBGOSWSD,PTFJA,SBGO,GOIÂNIA,SWSD,ARAGUAIANA,01-AUG-1506.26.44.000000000PM,DCT,R145,ML011,F180
PTFJASBGOSWSD,PTFJA,SBGO,GOIÂNIA,SWSD,ARAGUAIANA,01-AUG-1506.34.48.000000000PM,DCT,R145,ML011,F180
PTB2255SBCYSWSI,PTB2255,SBCY,CUIABÁ,SWSI,SINOP,01-AUG-1504.04.12.000000000PM,DCT,R158,ETA,F180
PTKCLSJHGSWSI,PTKCL,SJHG,CONFRESA,SWSI,SINOP,01-AUG-1511.01.00.000000000AM,DCT AE014 H330,R110,AE014,F160
PTB2378SBBRSWSI,PTB2378,SBBR,BRASÍLIA,SWSI,SINOP,01-AUG-1506.05.48.000000000PM,DCT AE014 H330,R110,AE014,F160
PTB2374SBBRSWSI,PTB2374,SBBR,BRASÍLIA,SWSI,SINOP,01-AUG-1503.26.48.000000000AM,DCT AE014 H330,R110,AE014,F160
PTB2378SBBRSWSI,PTB2378,SBBR,BRASÍLIA,SWSI,SINOP,01-AUG-1503.43.00.000000000PM,DCT AE014 H330,R110,AE014,F160
PUBMKSWNVSWTK,PUBMK,SWNV,GOIÂNIA,SWTK,VILABELADAS.S.TRINDADE,01-AUG-1511.31.31.000000000AM,DCT AE014 H330,R110,AE014,F160
PUDALSWNVSWTQ,PUDAL,SWNV,GOIÂNIA,SWTQ,RIOQUENTE,01-AUG-1512.00.00.000000000PM,DCT AE014 H330,R110,AE014,F160
PUJRVSWNVSWTQ,PUJRV,SWNV,GOIÂNIA,SWTQ,RIOQUENTE,01-AUG-1510.26.27.000000000AM,DCT H321,M320,ETA,F060
PUDALSWNVSWTQ,PUDAL,SWNV,GOIÂNIA,SWTQ,RIOQUENTE,01-AUG-1511.32.33.000000000AM,DCT H321,M320,ETA,F060
PUZDESWNVSWTQ,PUZDE,SWNV,GOIÂNIA,SWTQ,RIOQUENTE,01-AUG-1501.51.57.000000000PM,DCT,R143,ML003,F180
PTVSXSBCYSWTS,PTVSX,SBCY,CUIABÁ,SWTS,TANGARÁDASERRA,01-AUG-1505.45.00.000000000PM,DCT H321,M320,ETA,F060
PTITCSWLVSWTS,PTITC,SWLV,SANTOANTÔNIODOLEVERGER,SWTS,TANGARÁDASERRA,01-AUG-1508.10.00.000000000PM,IFR SBBU SBAE,R120,ETA,F070
PTVDPSBGOSWUA,PTVDP,SBGO,GOIÂNIA,SWUA,SÃOMIGUELDOARAGUAIA,01-AUG-1509.19.48.000000000AM,DCT H321,M320,ETA,F060
PTVGVSWNSSWUA,PTVGV,SWNS,ANÁPOLIS,SWUA,SÃOMIGUELDOARAGUAIA,01-AUG-1510.00.28.000000000AM,DCT H321,M320,ETA,F060
PTVGVSWNSSWUA,PTVGV,SWNS,ANÁPOLIS,SWUA,SÃOMIGUELDOARAGUAIA,01-AUG-1511.10.00.000000000AM,DCT H321,M320,ETA,F060
PTVDPSBGOSWUA,PTVDP,SBGO,GOIÂNIA,SWUA,SÃOMIGUELDOARAGUAIA,01-AUG-1508.35.28.000000000AM,DCT H321,M320,ETA,F060
PTRAMSBCRSSKG,PTRAM,SBCR,CORUMBÁ,SSKG,CAMPOGRANDE,01-AUG-1508.40.12.000000000PM,DCT H321,M320,ETA,F060
PPSTMSSNBSSKG,PPSTM,SSNB,NAVIRAÍ,SSKG,CAMPOGRANDE,01-AUG-1507.00.00.000000000PM,DCT AU006,R116,ETA,F180
PTKJUSSLBSSKG,PTKJU,SSLB,CORUMBÁ,SSKG,CAMPOGRANDE,01-AUG-1501.00.00.000000000PM,DCT 2649S04948W DCT,EOBT,EET,F075
PTIDGSSKGSSKG,PTIDG,SSKG,CAMPOGRANDE,SSKG,CAMPOGRANDE,01-AUG-1501.45.00.000000000PM,DCT 2649S04948W DCT,EOBT,EET,F075
PTJNOSSKGSSKG,PTJNO,SSKG,CAMPOGRANDE,SSKG,CAMPOGRANDE,01-AUG-1508.10.00.000000000PM,DCT 2649S04948W DCT,EOBT,EET,F075
PTIHTSSHASSKG,PTIHT,SSHA,AQUIDAUANA,SSKG,CAMPOGRANDE,01-AUG-1507.30.00.000000000PM,DCT 2649S04948W DCT,EOBT,EET,F075
PTKJUSSGOSSKG,PTKJU,SSGO,SÃOGABRIELD'OESTE,SSKG,CAMPOGRANDE,01-AUG-1508.20.00.000000000PM,DCT H321,M320,ETA,F060
PTRNHSSKGSSKG,PTRNH,SSKG,CAMPOGRANDE,SSKG,CAMPOGRANDE,01-AUG-1508.15.00.000000000PM,DCT H321,M320,ETA,F060
PRBOISWWHSSKG,PRBOI,SWWH,ANGÉLICA,SSKG,CAMPOGRANDE,01-AUG-1502.37.08.000000000PM,DCT UKARI DCT REC DCT,CTR,SNJO,F075
PTJDUSJEGSSKG,PTJDU,SJEG,CORUMBÁ,SSKG,CAMPOGRANDE,01-AUG-1502.49.48.000000000PM,DCT H321,M320,ETA,F060
PTKEKSJWISSKG,PTKEK,SJWI,CAMPOGRANDE,SSKG,CAMPOGRANDE,01-AUG-1508.45.00.000000000PM,DCT H321,M320,ETA,F060
PRMECSNJOSSKJ,PRMEC,SNJO,JOÃOPESSOA,SSKJ,RIOBRANCODOIVAÍ,01-AUG-1502.10.00.000000000PM,PROC SBBU/DCT PUPSI,ETMA,BRU,F070
PRMECSNJOSSKJ,PRMEC,SNJO,JOÃOPESSOA,SSKJ,RIOBRANCODOIVAÍ,01-AUG-1501.10.00.000000000PM,PROC SBBU/DCT PUPSI,ETMA,BRU,F070
PTRJISSKTSSKT,PTRJI,SSKT,SÃOJOSÉ,SSKT,SÃOJOSÉ,01-AUG-1508.34.01.000000000PM,DCT MRA H315,STMA,ETA,F105
PTJOGSSKTSSKT,PTJOG,SSKT,SÃOJOSÉ,SSKT,SÃOJOSÉ,01-AUG-1503.41.43.000000000PM,DCT ML003 RNAV 03,R165,ML003,F180
PTIONSSKTSSKT,PTION,SSKT,SÃOJOSÉ,SSKT,SÃOJOSÉ,01-AUG-1505.38.38.000000000PM,DCT ML003 RNAV 03,R165,ML003,F180
PTWCZSSIESSLK,PTWCZ,SSIE,CAMPOGRANDE,SSLK,COXIM,01-AUG-1511.30.00.000000000AM,DCT MRA H315,STMA,ETA,F105
PTRFUSBCZSSMH,PTRFU,SBCZ,CRUZEIRODOSUL,SSMH,CAPÃODOLEÃO,01-AUG-1502.35.12.000000000PM,DCT,MOMVA,AE024,F320
PTVMGSBCZSSMH,PTVMG,SBCZ,CRUZEIRODOSUL,SSMH,CAPÃODOLEÃO,01-AUG-1502.35.12.000000000PM,DCT,MOMVA,AE024,F320
PTVMSSBCZSSMH,PTVMS,SBCZ,CRUZEIRODOSUL,SSMH,CAPÃODOLEÃO,01-AUG-1505.07.12.000000000PM,DCT,MOMVA,AE024,F320
PTYDPSBPASSMK,PTYDP,SBPA,PORTOALEGRE,SSMK,ELDORADODOSUL,01-AUG-1502.50.00.000000000PM,DCT,MOMVA,AE024,F320
PRLFISSNHSSNP,PRLFI,SSNH,NOVOHAMBURGO,SSNP,NOVAPRATA,01-AUG-1501.45.00.000000000PM,DCT AE023 RNAV35,MOMVA,AE023,F180
PTETBSBGRSSOK,PTETB,SBGR,SÃOPAULO,SSOK,LONDRINA,01-AUG-1501.00.00.000000000PM,DCT AE023 RNAV35,MOMVA,AE023,F180
PTKMMSBCGSSOQ,PTKMM,SBCG,CAMPOGRANDE,SSOQ,AQUIDAUANA,01-AUG-1502.30.00.000000000PM,DCT,MOMVA,AE024,F320
PTKMMSBCGSSOQ,PTKMM,SBCG,CAMPOGRANDE,SSOQ,AQUIDAUANA,01-AUG-1503.18.00.000000000PM,DCT,MOMVA,AE024,F320
PUTNASSKTSSOS,PUTNA,SSKT,SÃOJOSÉ,SSOS,OSÓRIO,01-AUG-1512.37.30.000000000PM,REA E A,RD310,FAXI,F075
PTRJJSWITSSPB,PTRJJ,SWIT,ITIQUIRA,SSPB,PATOBRANCO,01-AUG-1502.25.12.000000000PM,DCT,EET,ETA,F095
PRJOYSBMTSSPG,PRJOY,SBMT,SÃOPAULO,SSPG,PARANAGUÁ,01-AUG-1503.15.00.000000000PM,DCT H291,R185,R246,F180
PPMNDSBBISSPG,PPMND,SBBI,CURITIBA,SSPG,PARANAGUÁ,01-AUG-1504.15.00.000000000PM,DCT H291,R185,R246,F180
PUCDFSDTBSSPG,PUCDF,SDTB,ATIBAIA,SSPG,PARANAGUÁ,01-AUG-1502.00.09.000000000PM,DCT,EET,ETA,F095
PTODHSDAISWUN,PTODH,SDAI,AMERICANA,SWUN,NOVAMONTEVERDE,01-AUG-1512.00.00.000000000AM,DCT H310,M341,ML003,F180
PTYTLSWNVSWUO,PTYTL,SWNV,GOIÂNIA,SWUO,NOVAMUTUM,01-AUG-1506.50.18.000000000PM,DCT,EET,ETA,F095
PTKAGSWPDSWUQ,PTKAG,SWPD,BONFIM,SWUQ,ALTOALEGRE,01-AUG-1503.10.12.000000000PM,DCT H310,M341,ML003,F180
PTKGCSWPDSWUQ,PTKGC,SWPD,BONFIM,SWUQ,ALTOALEGRE,01-AUG-1502.19.48.000000000PM,DCT H310,M341,ML003,F180
PPITZSBBVSWUQ,PPITZ,SBBV,BOAVISTA,SWUQ,ALTOALEGRE,01-AUG-1506.49.48.000000000PM,DCT SIDOL UZ33,EPDIM,SIDOL,F260
PTOJDSWPDSWUQ,PTOJD,SWPD,BONFIM,SWUQ,ALTOALEGRE,01-AUG-1503.00.00.000000000PM,DCT,EET,ETA,F095
PPITZSBBVSWUQ,PPITZ,SBBV,BOAVISTA,SWUQ,ALTOALEGRE,01-AUG-1501.59.48.000000000PM,DCT H310,M341,ML003,F180
PTKCJSWNVSWVC,PTKCJ,SWNV,GOIÂNIA,SWVC,VILARICA,01-AUG-1511.11.35.000000000AM,DCT H310,M341,ML003,F180
PTGKXSBMYSWYN,PTGKX,SBMY,MANICORÉ,SWYN,APUÍ,01-AUG-1501.30.00.000000000PM,DCT H310,M341,ML003,F180
PTKPISBCYSWYR,PTKPI,SBCY,CUIABÁ,SWYR,JAURU,01-AUG-1504.24.27.000000000PM,DCT,EET,ETA,F095
PTKPISBCYSWYR,PTKPI,SBCY,CUIABÁ,SWYR,JAURU,01-AUG-1505.02.00.000000000PM,DCT,EET,ETA,F095
PRSBHSBBHSSQO,PRSBH,SBBH,BELOHORIZONTE,SSQO,RIBASDORIOPARDO,01-AUG-1511.34.48.000000000AM,DCT,EET,ETA,F095
PTOCWSBRBSSRA,PTOCW,SBRB,RIOBRANCO,SSRA,NOVAANDRADINA,01-AUG-1502.04.48.000000000PM,DCT H295,R180,NERVO,F180
PRCNSSJHRSSRS,PRCNS,SJHR,CACOAL,SSRS,RIODOOESTE,01-AUG-1504.38.48.000000000PM,DCT H295,R180,NERVO,F180
PUCSLSBPBSSRS,PUCSL,SBPB,PARNAÍBA,SSRS,RIODOOESTE,01-AUG-1507.39.12.000000000PM,DCT H290,STMA,ETA,F065
PTETVSBSLSSRS,PTETV,SBSL,SÃOLUÍS,SSRS,RIODOOESTE,01-AUG-1505.40.12.000000000PM,DCT H290,STMA,ETA,F065
PTZEPSSAQSSSG,PTZEP,SSAQ,PASSOFUNDO,SSSG,SÃOGABRIEL,01-AUG-1507.42.13.000000000PM,TGL,JANDA,SSOG,VFR
PTHEOSSBPSSTB,PTHEO,SSBP,CURITIBA,SSTB,TRÊSBARRAS,01-AUG-1503.10.12.000000000PM,DCT,TMA,TMA,F065
PTHEOSSSESSTB,PTHEO,SSSE,ARAUCÁRIA,SSTB,TRÊSBARRAS,01-AUG-1502.05.00.000000000PM,DCT,TMA,TMA,F065
PTXIBSBSPSSUM,PTXIB,SBSP,SÃOPAULO,SSUM,UMUARAMA,01-AUG-1504.00.00.000000000PM,TGL,JANDA,SSOG,VFR
PRSBMSBMGSSUM,PRSBM,SBMG,MARINGÁ,SSUM,UMUARAMA,01-AUG-1501.02.12.000000000PM,TGL,JANDA,SSOG,VFR
PTJNSSBMGSSUM,PTJNS,SBMG,MARINGÁ,SSUM,UMUARAMA,01-AUG-1504.27.12.000000000PM,TGL,JANDA,SSOG,VFR
PTVQESBBISSUV,PTVQE,SBBI,CURITIBA,SSUV,UNIÃODAVITÓRIA,01-AUG-1508.08.48.000000000PM,TGL,JANDA,SSOG,VFR
PTVQESBBISSUV,PTVQE,SBBI,CURITIBA,SSUV,UNIÃODAVITÓRIA,01-AUG-1512.50.00.000000000PM,TGL,JANDA,SSOG,VFR
PRJVFSBBHSSXH,PRJVF,SBBH,BELOHORIZONTE,SSXH,NOVAMUTUM,01-AUG-1504.10.12.000000000PM,TGL,JANDA,SSOG,VFR
PRJVFSBBHSSXH,PRJVF,SBBH,BELOHORIZONTE,SSXH,NOVAMUTUM,01-AUG-1503.00.00.000000000PM,TGL,JANDA,SSOG,VFR
PTNVXSBCYSJVO,PTNVX,SBCY,CUIABÁ,SJVO,ARAGARÇAS,01-AUG-1512.34.48.000000000PM,HDG283,SBXG,SBXG,F065
PTKEKSSKGSJWI,PTKEK,SSKG,CAMPOGRANDE,SJWI,CAMPOGRANDE,01-AUG-1504.49.48.000000000PM,LITORAL,TAMBA,BA,F075
PUCCJSJCMSJXE,PUCCJ,SJCM,PONTALDOARAGUAIA,SJXE,SILVAJARDIM,01-AUG-1512.09.07.000000000PM,DCT,PBELO,ETA,F045
PUCCJSJCMSJXE,PUCCJ,SJCM,PONTALDOARAGUAIA,SJXE,SILVAJARDIM,01-AUG-1512.10.12.000000000PM,DCT,PBELO,ETA,F045
PRVIBSBJUSNAB,PRVIB,SBJU,JUAZEIRODONORTE,SNAB,ARARIPINA,01-AUG-1512.46.48.000000000PM,DCT 2613S04833W DCT NVG DCT,PBELO,ETA,A035
PRDSCSIVUSNBG,PRDSC,SIVU,VILAVELHA,SNBG,BAIXOGUANDU,01-AUG-1501.40.12.000000000PM,HDG072,SBXG,SDYJ,F075
PTOPDSBBHSNBG,PTOPD,SBBH,BELOHORIZONTE,SNBG,BAIXOGUANDU,01-AUG-1512.19.48.000000000PM,DCT,NUPAR,EMAKE,F115
PTOPDSBBHSNBG,PTOPD,SBBH,BELOHORIZONTE,SNBG,BAIXOGUANDU,01-AUG-1511.30.00.000000000AM,DCT,NUPAR,EMAKE,F115
PTTJSSBSPSNBM,PTTJS,SBSP,SÃOPAULO,SNBM,MURIAÉ,01-AUG-1501.00.00.000000000PM,DCT H328,R115,ETA,F060
