Fix,Latitude,Longitude
EGIRI,S 27 09 05.80,W 053 02 36.95
EGITO,S 23 17 08.40,W 048 05 44.40
EGIVI,S 27 33 06.40,W 049 32 40.39
EGLAK,S 23 41 16.21,W 046 58 47.21
EGLER,S 05 18 18.60,W 064 15 19.20
EGN94,S 03 02 22.92,W 059 57 15.30
EGN96,S 03 02 21.58,W 059 50 41.41
EGN97,S 03 02 23.20,W 059 58 39.06
EGOLA,S 13 06 15.60,W 051 50 21.00
EGONI,S 18 00 03.00,W 050 01 46.80
EGUDU,S 26 39 09.33,W 053 34 20.17
EGUNU,S 23 02 23.77,W 049 09 45.39
EGUPA,S 02 33 43.80,W 023 17 42.00
EGUPO,S 29 25 40.80,W 051 03 06.60
EGUSO,S 20 07 10.98,W 043 29 56.42
EGUXI,S 04 10 08.40,W 069 46 29.40
EGUXO,S 05 41 05.26,W 035 16 45.07
EGUXU,S 26 53 40.97,W 048 52 30.66
EG003,S 03 02 18.17,W 060 08 42.52
EG011,S 03 02 20.87,W 059 47 15.55
EG012,S 03 00 24.24,W 059 37 27.12
EG013,S 02 59 38.64,W 060 29 07.70
EG016,S 03 33 44.26,W 060 39 57.54
EG017,S 03 07 48.55,W 060 08 44.91
EG019,S 02 56 15.70,W 060 06 41.79
EG023,S 03 02 20.28,W 059 52 15.44
EG024,S 03 02 19.71,W 059 56 57.33
EG028,S 04 03 27.98,W 059 47 20.29
EG364,S 03 02 20.40,W 059 52 15.60
EG366,S 03 02 13.80,W 060 18 42.20
EG367,S 03 06 57.10,W 060 15 24.90
EG368,S 02 57 31.50,W 060 15 22.80
EG369,S 03 02 13.80,W 060 13 42.40
EG371,S 03 02 17.20,W 060 08 42.50
EG379,S 03 08 00.60,W 059 50 13.20
EG381,S 03 02 21.00,W 059 46 15.60
EG382,S 02 56 40.80,W 059 50 11.40
EG383,S 02 56 30.80,W 059 38 56.29
EG384,S 03 02 17.40,W 060 12 15.00
EG386,S 03 02 19.80,W 059 56 57.00
EI002,S 22 07 29.78,W 040 22 25.54
EI003,S 22 07 44.32,W 040 12 56.98
EI004,S 22 07 49.47,W 040 09 30.25
EI005,S 22 07 57.37,W 040 04 07.23
EI011,S 22 09 51.22,W 040 09 49.55
EI012,S 22 10 20.22,W 040 15 08.41
EI013,S 22 10 55.09,W 040 21 34.50
EJET,S 27 14 55.80,W 052 37 46.80
EKABI,S 23 26 26.61,W 049 07 43.80
EKAGA,S 20 53 12.60,W 054 39 26.40
EKALO,S 22 26 01.80,W 038 08 49.80
EKATA,S 09 33 12.71,W 035 58 00.00
EKEVU,S 21 58 51.00,W 045 28 09.00
EKIDI,S 23 07 15.36,W 045 04 41.16
EKINU,S 18 35 18.33,W 044 54 19.63
EKIPA,S 04 52 22.65,W 069 41 51.47
EKIVU,S 29 13 18.16,W 050 33 57.21
EKIXA,S 23 58 54.05,W 047 56 46.43
EKOGA,S 30 17 27.00,W 053 13 36.60
EKOLI,S 03 02 19.17,W 060 13 42.42
EKOXO,S 07 01 31.20,W 044 11 30.60
EKOXU,S 04 19 41.40,W 061 34 03.00
EKUBI,S 27 23 17.40,W 047 55 52.20
EKUGO,S 06 26 03.00,W 044 11 54.00
EKUGU,S 24 17 34.06,W 047 15 02.10
EKUMO,S 27 25 54.95,W 050 29 56.85
EKUPU,S 21 37 35.67,W 047 41 48.82
EKURU,S 07 48 26.36,W 071 45 08.19
EKUTI,S 28 28 00.90,W 050 33 36.76
EKUTU,S 02 51 17.38,W 059 49 26.75
EKUVI,S 15 54 10.80,W 048 22 31.80
ELAI,S 23 17 28.28,W 051 14 51.35
ELAKA,S 27 42 08.25,W 049 01 46.50
ELAMO,S 28 06 01.80,W 055 27 07.80
ELANU,S 24 53 45.00,W 047 44 28.20
ELAR,S 05 54 04.81,W 035 20 55.72
ELATE,S 29 37 33.60,W 050 31 37.20
ELEFA,S 13 09 12.60,W 039 06 31.20
ELENA,S 03 02 28.20,W 044 43 55.20
ELIET,S 03 10 13.80,W 043 54 31.20
ELION,S 22 12 18.00,W 050 58 28.80
ELIS,S 15 24 15.00,W 052 22 43.20
ELNOV,N 00 47 59.40,W 059 20 31.20
ELOM,S 04 42 16.80,W 056 24 51.00
ELOPE,S 03 39 16.80,W 060 22 56.40
ELOSA,S 25 00 48.60,W 049 38 12.00
ELOT,S 31 19 47.40,W 052 03 41.40
EMAKE,S 02 15 29.40,W 054 10 22.20
EMTUP,S 10 00 52.20,W 030 05 26.40
ENACT,S 21 56 06.00,W 049 02 26.40
ENLOV,S 23 03 00.29,W 045 55 02.94
ENLUM,S 25 38 29.89,W 048 42 44.93
ENLUR,S 21 27 36.66,W 039 34 27.11
ENLUS,S 08 53 34.20,W 036 02 56.40
ENPED,S 04 25 16.77,W 059 28 08.77
ENPEG,S 21 45 39.44,W 049 00 18.11
ENPIG,S 12 08 29.82,W 056 29 19.51
ENPOT,S 21 09 45.60,W 047 15 28.80
ENPOX,S 19 52 08.69,W 043 56 30.03
ENPUP,S 21 16 21.64,W 044 37 32.97
ENRIV,S 22 57 03.67,W 041 58 07.43
ENROD,S 20 45 21.08,W 054 01 45.76
ENROS,S 25 32 49.95,W 049 40 52.45
ENRUB,S 20 38 02.07,W 054 22 18.50
ENRUS,S 08 08 37.00,W 045 46 49.00
ENSAR,S 22 51 34.20,W 043 28 52.80
ENSEL,S 23 11 07.45,W 042 47 33.78
ENSOD,S 22 09 23.76,W 043 12 35.37
ENSUG,S 02 59 43.65,W 061 04 16.46
ENSUK,S 16 30 51.91,W 053 36 22.49
ENTAB,S 22 37 18.60,W 043 20 37.20
ENTEV,S 21 28 23.44,W 048 34 28.11
ENTIT,S 22 25 03.04,W 046 39 28.71
ENTUN,S 22 45 52.02,W 049 55 00.90
ENVAN,S 23 52 14.75,W 046 58 08.82
ENVAP,S 22 11 19.68,W 051 19 33.02
ENVEK,S 23 07 28.20,W 051 07 01.20
ENVI,S 28 09 54.60,W 051 58 02.40
ENVIB,S 05 51 38.86,W 035 20 49.05
ENVID,S 23 15 46.52,W 046 22 49.89
ENVOB,S 23 25 20.40,W 050 51 54.00
ENVUD,S 18 37 39.18,W 054 41 24.74
ENVUX,S 25 43 23.22,W 054 24 09.25
EOPEK,S 13 29 42.00,W 043 48 19.20
EPDAD,S 23 07 39.50,W 047 23 50.94
EPDAM,S 16 21 08.30,W 051 25 03.81
EPDEP,S 24 02 44.91,W 048 59 50.85
EPDIG,S 24 28 51.50,W 048 38 23.51
EPDIM,S 18 55 10.56,W 043 28 59.35
EPGAS,S 09 00 22.00,W 044 40 35.00
EPGAV,S 25 17 08.40,W 049 06 56.40
EPGEN,S 22 45 51.67,W 043 26 22.56
EPGEP,S 28 23 18.04,W 052 25 13.55
EPGIP,S 22 52 16.22,W 043 58 37.24
EPGOG,S 25 31 35.52,W 049 14 27.27
EPGOM,S 03 22 21.62,W 060 21 12.38
EPKAX,S 21 45 08.47,W 043 00 59.65
EPKER,S 05 43 02.40,W 050 12 31.20
EPKET,S 22 26 13.20,W 040 23 31.20
EPKIL,S 19 38 24.00,W 044 08 13.20
EPKIM,S 11 52 49.20,W 041 02 56.40
EPKIN,S 03 16 37.20,W 060 23 53.40
EPKIP,S 02 19 52.20,W 043 17 42.60
EPKIR,S 03 12 33.00,W 062 17 25.20
EPKOG,S 22 42 15.00,W 043 02 09.00
EPKOL,S 03 37 07.20,W 044 40 59.40
EPKON,S 27 40 37.74,W 048 18 43.34
EPKUV,S 27 32 15.64,W 049 03 10.31
EPLAG,S 04 08 27.73,W 069 35 51.65
EQUAL,S 13 45 24.00,W 056 06 34.80
EQUIV,S 21 26 37.20,W 050 04 27.00
EREJO,S 04 52 28.20,W 042 11 05.40
ERETU,N 03 07 42.00,W 028 48 00.00
ERISA,S 18 03 55.07,W 042 24 34.25
ERIXA,S 26 57 20.83,W 048 59 22.61
ERODE,S 04 43 06.00,W 038 53 07.20
ERODO,S 09 14 31.20,W 068 07 29.40
ERODU,S 25 14 22.01,W 047 30 11.14
EROPA,S 03 46 00.60,W 051 12 22.20
EROPO,S 22 56 48.18,W 046 40 34.79
EROXU,S 22 09 40.70,W 051 31 21.77
ERUGA,S 00 49 04.20,W 048 50 01.80
ERUGU,S 22 47 37.44,W 046 22 05.91
ERVAS,S 28 26 47.40,W 055 36 01.80
ERVAT,S 22 10 18.00,W 040 58 25.80
ERVEL,S 15 30 00.00,W 060 13 05.40
ERVEM,S 30 06 25.97,W 051 21 07.90
ERVIG,S 23 04 47.85,W 047 53 23.73
ERVIM,S 19 52 52.20,W 044 09 51.60
ERVIS,S 07 19 57.00,W 039 49 35.40
ERVUB,S 14 55 46.31,W 047 44 22.36
ESADA,S 23 11 34.59,W 046 36 48.47
ESAVA,S 22 56 54.23,W 049 09 44.73
ESAVO,S 03 34 09.97,W 039 25 18.72
ESBAD,S 24 30 47.61,W 051 54 14.64
ESBAR,S 03 13 58.04,W 059 49 06.20
ESBAV,S 30 16 44.15,W 052 00 18.57
ESBET,S 19 48 46.20,W 044 05 45.60
ESBIR,S 09 31 20.45,W 035 43 49.13
ESBUK,S 09 13 47.40,W 068 05 16.80
ESBUL,S 12 15 30.60,W 062 10 54.00
ESBUT,S 03 37 58.20,W 044 13 43.20
ESBUV,S 03 57 52.80,W 061 48 10.80
ESBUX,S 15 40 35.40,W 047 48 35.40
ESDAB,S 03 44 23.40,W 040 05 54.00
ESDAD,S 22 07 42.09,W 046 20 15.59
ESDAG,S 11 36 44.40,W 056 50 15.60
ESDAR,S 23 22 51.60,W 046 16 24.60
ESDAT,S 25 50 29.62,W 047 59 11.59
ESDAV,S 20 13 42.60,W 039 45 51.60
ESDEP,S 10 59 21.10,W 037 09 42.20
ESDER,S 20 17 41.40,W 057 48 47.40
ESDIL,S 06 03 00.00,W 035 07 52.80
ESDIM,S 08 23 31.40,W 043 01 58.95
ESDIS,S 29 22 35.87,W 051 08 26.62
ESDOL,S 27 43 32.45,W 048 26 03.85
ESDOP,S 14 09 09.34,W 058 51 54.61
ESEDO,S 05 44 26.40,W 035 32 42.00
ESENO,S 27 06 38.40,W 048 08 13.80
ESGAD,S 09 32 33.80,W 068 31 14.16
ESGAS,S 06 50 06.60,W 039 31 18.60
ESGIM,S 24 34 22.15,W 048 58 59.53
ESGOK,S 23 51 53.84,W 050 10 00.80
ESGUM,S 06 37 33.00,W 034 02 14.40
ESIGI,S 21 32 12.00,W 049 36 52.00
ESILO,S 03 42 34.14,W 038 47 23.40
ESIMA,S 09 29 20.40,W 035 56 00.60
ESIPA,S 19 33 26.00,W 048 38 05.00
ESKED,S 21 41 09.89,W 050 57 10.44
ESKEG,S 27 36 50.53,W 048 38 51.61
ESKEK,S 26 38 14.02,W 045 41 04.98
ESKIP,S 19 28 05.53,W 044 46 08.96
ESKIX,S 29 19 20.75,W 050 44 28.29
ESLAK,S 28 27 23.40,W 049 12 28.20
ESLAX,S 04 29 03.60,W 057 00 15.60
ESLEB,S 02 19 52.20,W 043 37 42.60
ESLEL,N 00 55 48.60,W 040 46 55.80
ESLIB,S 13 05 13.20,W 037 16 13.20
ESLIT,S 06 31 25.20,W 039 07 41.40
ESLOD,S 02 16 55.80,W 044 22 22.80
ESLOP,S 25 17 02.40,W 049 12 30.00
ESLUM,S 11 39 24.60,W 039 51 09.60
ESLUT,S 19 43 48.00,W 044 14 03.60
ESMAL,S 08 07 45.60,W 035 06 36.00
ESMAN,S 30 20 33.80,W 052 11 50.85
ESMAR,S 05 44 52.20,W 056 52 03.60
ESMED,S 03 06 54.00,W 057 42 12.60
ESMEL,S 27 45 22.20,W 048 24 07.20
ESMEM,S 04 46 42.00,W 038 54 24.60
ESMIK,S 12 15 47.40,W 038 30 39.00
ESMIV,S 23 02 15.00,W 045 29 41.40
ESMUB,S 27 48 49.96,W 048 16 24.48
ESMUT,S 04 13 32.00,W 049 46 14.00
ESNEM,S 27 01 21.81,W 048 53 10.98
ESNER,S 06 18 50.40,W 048 24 45.60
ESNIK,S 26 23 29.70,W 049 34 02.59
ESNOG,S 27 09 10.08,W 052 32 40.39
ESNUX,S 30 11 51.00,W 051 06 11.40
ESOPE,S 26 56 41.83,W 051 16 31.74
ESORU,S 23 01 50.97,W 044 40 35.45
ESPEB,S 22 01 16.06,W 041 04 59.10
ESPIN,S 20 55 48.00,W 054 54 52.80
ESTEP,S 04 02 31.80,W 043 24 40.20
ESTER,S 17 10 42.00,W 055 07 52.80
ESUBU,S 25 35 04.47,W 054 19 09.06
ETADA,S 03 29 54.60,W 058 08 09.27
ETANO,S 24 27 28.80,W 044 35 14.40
ETAXI,S 20 22 10.00,W 046 37 55.00
ETAXO,S 15 51 24.00,W 010 00 00.00
ETEGI,S 20 10 03.10,W 054 46 30.46
ETEGO,S 10 26 19.80,W 048 27 55.20
ETELU,S 22 11 39.31,W 040 02 00.55
ETERI,S 19 31 19.20,W 043 35 54.00
ETETO,S 23 53 52.55,W 045 52 06.60
ETEVA,S 22 34 04.00,W 039 59 09.00
ETEXU,S 20 00 42.60,W 054 57 57.00
ETIBI,S 23 31 15.07,W 047 17 29.93
ETIGU,S 20 38 55.57,W 044 10 00.12
ETIMO,S 05 02 41.40,W 022 28 31.20
ETIRA,S 05 08 12.03,W 042 48 58.66
EVKUT,S 23 35 08.17,W 046 32 06.57
EVLAS,S 21 55 20.40,W 040 50 39.60
EVLOK,S 22 46 01.20,W 045 56 46.80
EVLOL,S 19 04 48.09,W 057 48 20.76
EVLUB,S 09 44 53.40,W 040 19 23.40
EVLUG,S 12 32 51.00,W 040 27 36.00
EVLUX,S 21 19 37.85,W 050 36 24.65
EVMAT,S 24 26 55.03,W 049 43 29.76
EVMAV,S 30 06 37.90,W 051 55 19.10
EVMED,S 07 17 27.00,W 038 57 22.00
EVMES,S 26 27 38.64,W 049 08 59.48
EVMIM,S 22 48 56.84,W 047 47 37.94
EVMUG,S 12 31 47.63,W 055 42 00.68
EVMUL,S 23 09 24.54,W 046 33 59.34
EVNAV,S 23 03 11.96,W 049 20 20.38
EVNEB,S 23 27 43.88,W 046 34 24.25
EVNES,S 22 38 10.25,W 050 05 25.60
EVNIT,S 30 31 23.34,W 054 58 12.01
EVNOL,S 21 08 18.60,W 047 59 45.60
EVNOM,S 07 06 25.20,W 040 57 51.60
EVNON,S 15 35 57.00,W 056 08 43.20
EVNOP,S 27 33 40.20,W 048 45 05.40
EVNOR,S 09 52 01.58,W 040 14 48.26
EVNUG,S 21 09 21.00,W 046 50 51.00
EVNUL,S 03 40 05.40,W 057 25 18.60
EVNUM,S 07 28 24.00,W 039 06 03.60
EVNUN,S 24 45 48.02,W 049 09 57.90
EVOLO,S 10 11 30.60,W 063 11 30.00
EVPAB,S 07 55 54.00,W 036 18 30.60
EVPAD,S 19 57 28.20,W 042 58 43.20
EVPAG,S 25 44 01.83,W 048 57 12.75
EVPES,S 21 15 00.01,W 047 57 37.20
EVPEX,S 09 43 03.67,W 067 57 37.47
EVPIB,S 26 36 02.74,W 046 59 10.77
EVPOS,S 17 33 26.40,W 042 44 21.58
EVPUK,S 25 10 41.38,W 048 26 31.47
EVRAD,S 22 36 35.11,W 043 01 55.38
EVRAM,S 30 05 55.12,W 051 14 21.98
EVRIR,S 23 02 09.60,W 042 48 48.00
EVRIS,S 03 21 54.00,W 052 40 57.60
EVRON,S 06 00 11.88,W 035 21 23.91
EVSAK,S 25 32 37.82,W 054 19 27.80
EVSOB,S 22 59 54.64,W 043 05 22.58
EVSOT,S 26 17 22.26,W 048 42 26.70
EVSOV,S 23 17 31.54,W 045 57 20.14
EVSUP,S 25 38 04.09,W 048 58 50.11
EVTAL,S 03 15 21.00,W 044 13 58.20
EVTEM,S 20 03 53.13,W 044 22 38.47
EVTIG,S 22 46 53.79,W 040 44 02.30
EVTIK,S 28 13 21.82,W 052 16 01.30
EVTOB,S 21 30 14.96,W 046 47 42.26
EVTOV,S 25 15 14.19,W 049 12 11.16
EVTUS,S 23 06 35.68,W 041 18 39.98
FADA,S 27 35 19.20,W 049 58 14.40
FAITI,S 19 15 27.60,W 043 08 16.80
FALSE,S 21 14 54.60,W 047 29 14.40
FANO,S 07 55 20.40,W 049 26 08.40
FANT,S 21 48 20.40,W 041 03 52.20
FASE,S 05 05 09.00,W 047 33 41.40
FATAL,S 19 36 40.20,W 057 20 30.00
FAVA,S 00 00 36.00,W 067 25 01.80
FAVOR,S 04 04 22.80,W 055 21 54.00
FEITO,S 25 39 30.60,W 045 53 25.80
FELIX,N 02 11 06.60,W 060 37 24.00
FEMUR,S 03 38 02.40,W 034 02 10.20
FERMA,S 17 38 48.00,W 041 37 40.20
FHAW,S 07 58 12.00,W 014 23 36.00
FIGOS,S 22 18 33.00,W 042 25 30.60
FIG01,S 30 00 00.75,W 050 50 10.33
FILHO,S 10 11 42.60,W 066 58 38.40
FINO,S 03 43 22.20,W 055 39 55.20
FI001,S 25 32 06.00,W 054 33 55.80
FI002,S 25 18 04.20,W 054 21 24.00
FI003,S 25 39 24.00,W 054 24 32.40
FI004,S 25 51 21.00,W 054 37 58.80
FI006,S 25 47 46.80,W 054 43 47.40
FI369,S 25 39 24.60,W 054 24 32.40
FI371,S 25 42 40.20,W 054 20 20.40
FI372,S 25 45 55.80,W 054 16 08.40
FI373,S 25 48 18.00,W 054 22 41.40
FI376,S 25 41 34.42,W 054 19 33.13
FI384,S 25 28 49.80,W 054 38 07.20
FI386,S 25 42 40.20,W 054 20 20.40
FLAND,S 17 30 02.40,W 046 09 15.60
FLASH,S 14 59 45.60,W 046 42 32.40
FLAU,S 27 14 45.00,W 052 42 24.60
FLINT,S 14 40 13.20,W 047 24 59.40
FLN01,S 27 31 29.74,W 048 26 49.72
FLN02,S 27 47 41.69,W 048 39 54.46
FLN03,S 27 33 58.41,W 048 44 12.18
FLN04,S 27 33 56.24,W 048 44 16.23
FLOCK,S 10 58 49.80,W 039 32 49.20
FLORI,S 23 58 18.00,W 048 33 57.60
FLOTE,S 10 17 20.40,W 067 05 39.00
FLUTE,S 08 45 02.40,W 032 30 35.40
FL001,S 27 27 30.00,W 048 41 50.40
FL006,S 27 36 58.80,W 048 38 33.60
FL007,S 27 51 40.80,W 048 23 33.00
FL009,S 27 42 00.00,W 048 16 58.20
FL013,S 27 27 07.80,W 048 42 31.20
FL014,S 27 30 22.20,W 048 50 46.20
FL016,S 27 38 24.60,W 048 50 11.40
FL017,S 27 34 01.20,W 048 44 03.00
FL018,S 27 36 37.20,W 048 39 13.80
FL024,S 27 38 23.40,W 048 35 57.60
FL026,S 27 19 40.80,W 048 27 50.40
FL028,S 27 52 05.40,W 048 22 34.80
FL029,S 26 52 55.80,W 047 08 19.20
FL031,S 27 18 08.40,W 047 43 10.80
FL032,S 27 35 46.20,W 048 08 09.00
FL033,S 27 12 01.20,W 048 29 22.80
FL034,S 27 04 51.00,W 048 35 39.60
FL036,S 28 22 42.00,W 049 04 25.20
FL037,S 27 52 30.00,W 049 00 39.00
FL038,S 27 46 46.80,W 048 56 24.00
FL041,S 27 19 19.20,W 048 26 04.80
FL042,S 27 12 13.20,W 048 11 14.40
FL044,S 27 37 24.60,W 049 01 23.40
FL046,S 27 45 49.80,W 048 39 07.80
FL951,S 27 43 39.00,W 048 26 11.40
FL952,S 27 37 44.56,W 048 37 10.85
FL953,S 27 10 30.10,W 047 33 39.71
FL957,S 27 42 48.46,W 048 25 12.71
FL958,S 27 33 53.66,W 048 44 14.51
FL959,S 27 33 55.83,W 048 44 10.45
FL964,S 27 37 53.90,W 048 36 44.40
FL966,S 27 46 33.62,W 048 20 43.18
FL967,S 27 46 35.53,W 048 20 39.66
FL968,S 26 47 19.12,W 048 14 22.63
FL969,S 27 49 21.06,W 048 47 48.67
FL971,S 27 47 11.40,W 048 58 24.84
FL972,S 27 12 47.05,W 048 18 58.09
FL973,S 27 03 04.33,W 048 17 12.78
FL974,S 27 40 08.54,W 049 32 34.90
FL976,S 27 08 12.32,W 047 42 48.91
FL977,S 27 41 59.65,W 048 29 15.88
FL978,S 27 06 25.53,W 047 45 13.58
FL979,S 27 12 14.16,W 048 31 02.19
FL981,S 27 45 14.64,W 048 52 08.55
FL982,S 27 34 44.90,W 048 42 42.01
FL983,S 27 28 20.26,W 049 09 35.09
FL984,S 27 37 41.08,W 048 37 08.48
FL986,S 27 35 47.24,W 048 40 41.24
FL987,S 27 37 43.25,W 048 37 13.20
FL988,S 27 43 10.80,W 048 27 03.60
FL989,S 27 45 46.80,W 048 22 14.40
FL991,S 27 36 49.52,W 048 38 50.92
FL992,S 27 36 02.79,W 048 40 17.59
FL993,S 27 43 04.69,W 048 25 22.94
FL994,S 27 42 57.18,W 048 40 32.71
FL996,S 27 50 20.34,W 049 08 42.01
FL997,S 27 21 40.88,W 047 49 51.52
FL998,S 27 10 40.14,W 048 46 48.44
FL999,S 26 57 31.92,W 048 53 03.62
FN014,S 04 02 10.20,W 032 17 22.80
FN016,S 04 25 19.20,W 032 29 25.80
FN017,S 04 35 36.00,W 032 50 59.40
FN018,S 03 49 42.00,W 032 45 47.40
FN019,S 04 00 58.80,W 033 02 21.00
FN041,S 04 21 39.00,W 033 06 18.60
FN361,S 03 44 29.40,W 032 39 39.30
FN362,S 03 49 50.20,W 032 44 01.30
FN363,S 03 55 47.30,W 032 40 30.80
FN364,S 03 50 17.80,W 032 38 02.20
FN366,S 03 50 40.90,W 032 33 03.00
FN367,S 03 51 03.90,W 032 28 03.70
FN368,S 03 52 15.00,W 032 12 36.20
FN369,S 03 58 03.40,W 032 10 59.20
FN371,S 03 52 42.50,W 032 06 37.10
FN372,S 03 46 45.50,W 032 10 07.60
FN373,S 03 51 52.10,W 032 17 35.50
FN374,S 03 51 29.10,W 032 22 34.80
FORTI,S 16 22 28.20,W 042 49 32.40
FOSSE,S 21 42 07.20,W 048 43 10.80
FOTO,S 22 31 48.60,W 046 54 31.80
FOZ01,S 25 33 27.31,W 054 32 09.39
FOZ02,S 25 28 27.07,W 054 38 35.53
FRAIB,S 27 02 27.00,W 050 57 49.80
FRAIL,S 19 31 01.80,W 048 37 30.00
FRANK,S 07 57 37.80,W 040 03 18.60
FRAUD,S 22 04 58.80,W 048 39 31.20
FROCK,S 11 25 34.80,W 056 06 24.60
FROTI,S 10 16 37.20,W 038 23 15.60
FS001,S 22 03 39.67,W 041 01 15.83
FS002,S 22 05 22.20,W 040 58 36.27
FS003,S 22 08 18.21,W 040 57 52.72
FS004,S 22 05 30.08,W 040 55 21.93
FS005,S 22 02 24.45,W 041 03 12.79
FS006,S 21 59 59.97,W 041 06 57.29
FS007,S 21 58 17.31,W 041 09 36.64
FS009,S 21 55 48.69,W 041 07 46.59
FS010,S 22 00 45.90,W 041 11 26.77
FS011,S 22 01 15.00,W 041 05 00.60
FS012,S 21 56 34.60,W 041 12 15.94
FS014,S 21 59 28.66,W 041 00 34.78
FS015,S 22 00 00.76,W 041 00 15.24
FS016,S 22 02 28.56,W 040 59 55.30
FS017,S 22 04 10.80,W 041 00 44.85
FS018,S 22 05 09.01,W 041 01 54.82
FS019,S 22 05 38.90,W 041 03 15.90
FZ373,S 03 37 17.40,W 038 44 45.00
FZ374,S 03 41 44.40,W 038 50 01.20
FZ376,S 03 48 14.40,W 038 47 39.60
FZ377,S 03 43 17.40,W 038 44 13.20
FZ378,S 03 44 51.00,W 038 38 25.20
FZ379,S 03 55 52.20,W 038 19 09.60
FZ381,S 03 51 24.60,W 038 13 53.40
FZ382,S 03 44 55.20,W 038 16 15.60
FZ383,S 03 49 51.60,W 038 19 41.40
FZ384,S 03 48 18.60,W 038 25 29.40
FZ386,S 03 45 37.20,W 038 35 31.20
FZ387,S 03 47 31.80,W 038 28 23.40
FZ392,S 04 17 20.40,W 039 00 07.20
FZ393,S 04 24 52.80,W 038 44 07.20
FZ394,S 04 01 16.20,W 038 43 00.00
FZ396,S 04 05 42.00,W 038 34 39.00
FZ398,S 03 50 16.20,W 038 18 46.20
FZ401,S 03 39 05.16,W 038 32 45.11
FZ402,S 03 56 48.29,W 038 34 09.08
FZ403,S 04 04 40.41,W 038 35 22.36
GALES,S 24 04 12.00,W 049 08 23.40
GALI,S 09 25 00.00,W 056 03 51.60
GAMOT,S 30 56 40.20,W 055 29 37.20
GARA,S 03 01 36.00,W 054 31 18.60
GARCI,S 24 56 58.20,W 049 41 36.00
GARUP,S 18 51 45.00,W 037 40 22.20
GATE,S 27 06 22.10,W 052 51 11.90
GATOX,S 19 27 02.40,W 043 36 40.80
GATUL,S 11 09 14.40,W 036 59 54.43
GATUT,S 23 05 01.22,W 045 59 16.87
GAUZE,S 20 44 45.60,W 048 07 03.60
GAVAP,S 03 42 19.22,W 060 20 01.38
GAVEB,S 21 08 15.60,W 054 38 57.60
GAVED,S 25 06 40.00,W 049 14 25.00
GAVEG,S 13 19 23.58,W 057 52 37.75
GAVEV,S 20 20 00.00,W 040 20 28.00
GAVIR,S 30 03 02.90,W 051 24 41.31
GAVOB,S 25 19 19.43,W 049 01 06.30
GAVOM,S 01 26 32.45,W 067 06 17.71
GAVUG,S 22 50 57.98,W 043 26 31.11
GAVUN,S 11 46 27.00,W 041 19 31.20
GAVUP,S 20 15 06.80,W 043 15 37.13
GAVUV,S 16 31 27.60,W 049 40 13.20
GAXAG,S 03 18 01.20,W 051 50 33.00
GAXAM,S 16 48 55.20,W 039 39 30.60
GAXAS,S 25 24 10.20,W 054 30 40.80
GAXEG,S 24 48 50.52,W 052 40 15.90
GAXEL,S 13 42 48.60,W 043 27 42.00
GAXES,S 03 28 56.79,W 065 19 50.45
GAXEV,S 19 26 37.20,W 046 03 54.00
GAXEX,S 07 13 16.20,W 040 23 30.60
GAXID,S 03 10 56.40,W 060 15 38.40
GAXIP,S 10 22 51.00,W 048 14 19.20
GAXON,S 16 04 39.00,W 047 57 53.40
GAXUB,S 20 29 19.02,W 044 08 31.30
GAXUM,S 31 29 08.29,W 051 28 16.31
GAZAR,S 17 02 55.80,W 049 02 07.80
GEBAB,S 16 47 56.85,W 047 10 58.14
GEBAX,S 09 40 28.80,W 040 53 29.40
GEBIR,S 22 08 06.20,W 041 50 50.98
GEBIT,S 10 00 49.80,W 037 57 25.20
GEBOK,S 00 54 25.20,W 048 56 43.80
GEBUN,S 26 34 40.20,W 053 46 45.60
GEBUR,S 23 11 35.47,W 045 55 05.38
GEDAR,S 19 11 23.78,W 044 00 11.39
GEDEX,S 13 08 30.75,W 038 12 28.40
GEDIP,S 19 15 34.20,W 044 07 16.20
GEDIR,S 05 56 13.20,W 046 32 51.00
GEDIS,S 10 59 47.30,W 037 14 46.10
GEDIT,S 03 41 18.60,W 061 58 52.80
GEDIX,S 01 57 53.40,W 060 13 39.60
GEDOB,S 05 37 55.20,W 035 08 37.80
GEDOG,S 08 34 33.60,W 048 30 16.80
GEDOK,S 18 59 22.20,W 044 11 43.80
GEDOV,S 01 54 18.70,W 066 32 25.86
GEDOX,S 09 12 18.00,W 067 49 54.38
GEDUS,S 15 16 54.00,W 060 25 30.00
GEGEL,S 25 22 23.86,W 049 28 53.79
GEGID,S 25 17 04.99,W 049 26 56.25
GEGIM,S 23 34 33.63,W 051 56 33.68
GEGOB,S 24 10 12.75,W 050 23 11.20
GEGUS,S 19 36 34.03,W 040 04 37.72
GEKEK,S 04 08 12.32,W 057 46 37.01
GEKEM,S 21 44 01.69,W 051 11 16.16
GEKIV,S 23 12 17.57,W 047 04 23.53
GEKOT,S 19 55 53.81,W 051 55 10.77
GEKUD,S 25 31 23.44,W 049 01 25.57
GELAG,S 03 12 02.48,W 059 47 28.01
GELAM,S 19 24 14.00,W 036 00 23.00
GELEP,S 07 15 01.61,W 034 50 57.32
GELET,S 22 06 30.67,W 039 54 16.11
GELIB,S 18 52 54.00,W 047 37 51.00
GELIG,S 24 05 56.08,W 047 27 39.06
