Fix,Latitude,Longitude
ALOC,S 03 41 37.20,W 064 51 52.80
ALOK,S 29 43 00.54,W 053 33 36.49
ALONG,S 16 02 16.20,W 047 46 21.00
ALOV,S 04 19 03.60,W 032 26 10.20
ALVOX,S 26 10 30.00,W 048 58 21.00
AMALO,S 12 28 01.80,W 062 48 19.20
AMAN,S 12 56 53.40,W 038 50 55.20
AMANT,S 23 23 46.15,W 050 56 31.54
AMBET,S 07 45 34.20,W 034 26 44.40
AMEM,S 02 15 21.60,W 055 06 15.60
AMENT,S 16 50 22.20,W 039 38 27.00
AMERO,S 26 08 37.80,W 049 27 58.20
AMUEG,S 23 01 19.66,W 048 55 54.84
AMVER,S 02 17 44.40,W 054 00 48.60
AMVET,S 22 54 38.06,W 046 15 25.37
AMVOL,S 20 44 44.40,W 054 20 15.00
AMVOP,S 17 32 16.73,W 054 33 10.71
AMVUK,S 06 23 08.04,W 035 22 25.53
AMZAK,S 15 15 15.00,W 056 39 51.00
ANBAV,S 25 23 12.00,W 054 35 47.40
ANBEK,S 18 50 25.98,W 042 56 11.16
ANBEV,S 30 03 00.43,W 051 22 27.41
ANBEX,S 28 45 56.40,W 051 51 58.93
ANBIB,S 23 17 57.70,W 046 50 01.37
ANBIV,S 29 42 58.95,W 051 22 47.94
ANBIX,N 02 11 06.60,W 060 37 23.40
ANBOR,S 15 16 28.20,W 056 17 21.00
ANBUK,S 25 45 47.40,W 054 05 15.60
ANCAF,S 22 41 48.68,W 046 30 57.32
ANDAD,S 07 29 38.40,W 034 43 39.60
ANDAM,S 25 48 39.69,W 048 39 56.74
ANDE,S 32 05 03.60,W 052 32 14.40
ANDEB,S 26 43 23.82,W 047 07 53.80
ANDIV,S 18 28 32.16,W 050 29 09.02
ANDOD,S 19 46 44.88,W 039 46 46.71
ANDOR,S 23 45 43.20,W 047 23 04.80
ANDOX,S 07 51 33.60,W 035 00 40.80
ANDUT,S 27 50 55.66,W 048 25 44.54
ANGAM,S 23 13 43.00,W 046 27 36.39
ANGAS,S 16 31 24.60,W 055 51 28.80
ANGEK,S 23 18 01.12,W 051 59 28.39
ANGEM,S 03 51 04.99,W 038 47 06.24
ANGIP,S 22 34 57.66,W 050 14 55.20
ANGOB,S 18 40 56.63,W 043 31 15.55
ANGOG,S 25 40 10.30,W 048 29 55.82
ANISE,S 24 36 07.80,W 046 37 31.20
ANKAG,S 26 57 19.31,W 049 51 51.31
ANKAT,S 29 38 17.71,W 051 16 20.89
ANKEX,S 25 29 08.37,W 048 46 07.38
ANKOL,S 14 37 37.20,W 041 15 36.60
ANKOM,S 21 59 53.40,W 040 47 01.20
ANLAT,S 22 00 18.16,W 055 25 56.80
ANLER,S 28 41 39.41,W 049 51 25.02
ANLES,S 19 11 21.60,W 043 26 24.00
ANLIV,S 25 24 31.05,W 049 19 04.99
ANLUK,S 13 35 55.17,W 057 37 43.30
ANPAX,S 24 04 27.86,W 048 08 02.34
ANPEK,S 19 29 48.30,W 043 12 36.87
ANPIB,S 23 11 27.11,W 049 09 46.47
ANPIR,S 05 49 57.60,W 016 44 00.60
ANPUM,S 10 54 29.56,W 048 38 05.12
ANRAN,S 25 59 04.72,W 048 14 44.12
ANREG,S 21 58 16.80,W 040 48 18.60
ANREL,S 25 26 51.00,W 044 23 05.22
ANREV,S 09 17 59.00,W 046 59 13.00
ANRID,S 23 02 52.90,W 047 04 31.62
ANRIR,S 14 59 29.62,W 057 33 22.96
ANROB,S 28 43 33.83,W 050 54 02.34
ANROV,S 23 14 47.69,W 047 13 18.22
ANRUR,S 25 36 29.61,W 049 14 41.27
ANSAN,S 24 07 36.85,W 046 41 08.93
ANSEN,S 20 27 31.02,W 053 57 41.21
ANSOK,S 22 23 37.87,W 049 09 40.78
ANSOT,S 20 06 06.00,W 040 12 16.00
ANSUD,S 22 24 20.40,W 042 23 00.00
ANSUG,S 23 16 25.75,W 046 16 30.86
ANTO,S 12 30 57.00,W 037 50 59.40
ANZO,S 28 03 47.40,W 053 52 57.00
AN001,S 16 20 07.20,W 049 10 51.00
AN002,S 16 25 59.50,W 049 08 14.40
AN003,S 16 27 16.20,W 049 01 45.00
AN004,S 16 22 06.00,W 049 04 57.60
AN006,S 16 18 12.00,W 049 01 40.80
AN007,S 16 07 05.80,W 048 44 47.20
AN008,S 16 01 13.60,W 048 47 24.20
AN009,S 15 59 57.30,W 048 53 52.40
AN011,S 16 05 07.50,W 048 50 40.60
AN013,S 16 11 58.20,W 048 56 25.80
AN016,S 16 09 01.31,W 048 53 57.10
APINO,S 14 57 42.60,W 045 12 28.20
APORT,S 14 03 13.20,W 042 03 39.00
APURU,S 01 05 33.00,W 050 52 15.60
ARAUJ,S 21 55 32.40,W 043 35 48.00
ARBOR,S 13 08 28.20,W 038 40 29.40
ARENA,S 21 01 36.00,W 044 46 57.00
ARIH,S 16 52 44.40,W 049 15 50.40
ARIL,S 08 13 48.60,W 034 51 23.40
ARINO,S 10 32 17.40,W 056 06 21.00
ARIP,S 04 15 00.60,W 049 46 32.40
ARISE,S 25 24 31.20,W 054 22 15.60
ARMIP,S 23 03 02.80,W 047 34 24.78
ARMON,S 17 59 18.60,W 049 13 04.80
ARMOP,S 05 18 25.80,W 043 09 59.40
ARMUK,S 13 28 55.80,W 061 33 30.00
ARNAM,N 04 44 00.00,W 049 38 03.00
ARNED,S 26 15 18.79,W 048 34 35.83
ARNIL,S 20 10 35.00,W 040 14 33.00
ARNOX,S 24 18 15.44,W 049 09 54.53
ARNUG,S 20 31 06.00,W 044 01 09.00
ARNUK,S 25 19 36.68,W 049 16 40.13
AROLO,S 12 37 32.16,W 037 40 39.45
AROMA,S 31 16 52.80,W 052 23 57.00
AROPI,S 06 18 40.80,W 060 53 16.80
ARPAD,S 24 56 28.31,W 049 52 29.05
ARPAR,S 10 30 54.00,W 059 17 10.80
ARPES,S 03 43 49.41,W 038 42 33.22
ARPEV,S 19 49 56.40,W 039 43 46.22
ARPOK,S 24 58 04.52,W 049 40 36.51
ARPUM,S 29 16 27.60,W 051 10 01.08
ARSAG,S 30 43 09.01,W 051 38 50.19
ARSAL,S 09 31 37.97,W 035 42 15.69
ARSAX,S 21 38 24.82,W 046 25 14.60
ARSIV,S 22 08 28.80,W 048 10 07.80
ARSOS,S 03 08 19.25,W 060 13 43.26
ARTAN,S 22 44 49.80,W 045 49 59.40
ARTAP,S 26 12 12.02,W 049 28 45.47
ARTED,S 13 48 28.04,W 057 37 16.09
ARTIK,S 07 37 31.80,W 068 33 59.40
ARTUG,S 03 14 47.25,W 059 58 29.54
ARUBI,S 17 09 33.60,W 041 28 00.60
ARULA,S 28 43 42.00,W 056 08 34.20
ARUNU,S 00 34 21.00,W 027 19 40.80
ARUSI,N 06 25 00.00,W 037 20 00.00
ARUXA,S 03 28 56.40,W 069 47 42.00
ARVAB,S 21 09 10.62,W 051 25 48.37
ARVEV,S 22 53 41.00,W 040 12 06.00
ARVIB,S 04 25 36.00,W 047 43 15.00
ARVIR,S 20 19 43.20,W 040 18 42.00
ARVIX,N 01 02 07.80,W 063 30 55.80
ARVOP,S 22 16 01.20,W 056 36 57.00
ARVOR,S 27 50 30.00,W 046 42 13.80
ARVOT,N 02 12 40.20,W 062 22 48.60
ARVUM,N 00 38 42.12,W 060 27 24.66
ARVUS,S 30 32 21.23,W 051 31 38.06
AR001,S 11 39 05.62,W 037 04 05.02
AR002,S 10 48 50.57,W 037 08 32.41
AR361,S 10 52 56.50,W 037 16 52.60
AR362,S 10 58 27.90,W 037 21 05.10
AR363,S 11 04 15.80,W 037 17 16.40
AR364,S 10 58 40.40,W 037 14 59.30
AR366,S 10 58 50.80,W 037 09 54.50
AR367,S 10 59 24.50,W 036 53 27.40
AR368,S 11 05 08.40,W 036 51 34.20
AR369,S 10 53 49.20,W 036 51 10.50
AR371,S 10 59 14.10,W 036 58 32.30
ASANU,S 03 49 46.80,W 021 10 21.00
ASAPA,S 03 01 15.60,W 069 42 51.60
ASAXU,S 27 05 50.21,W 052 30 11.34
ASBIT,S 19 55 12.01,W 043 18 06.58
ASBIV,S 27 31 27.54,W 049 45 58.71
ASBOD,S 21 58 00.15,W 049 30 05.81
ASBOR,S 22 55 39.23,W 042 06 04.61
ASBOV,S 28 49 59.89,W 050 54 48.01
ASBUP,S 21 50 57.24,W 045 50 20.43
ASBUS,S 27 30 37.15,W 048 26 15.75
ASBUV,S 26 19 40.14,W 048 39 15.71
ASDAM,S 26 06 54.89,W 049 50 21.39
ASDAP,S 25 32 14.57,W 048 52 00.58
ASDAS,S 19 07 52.20,W 042 11 04.80
ASDEK,S 28 35 41.40,W 051 20 28.80
ASDEN,S 19 59 04.80,W 043 50 43.20
ASDOK,S 01 36 49.20,W 022 26 25.20
ASDOV,S 20 06 44.64,W 050 16 57.69
ASDUX,S 23 08 01.27,W 046 46 29.05
ASEDU,S 22 40 57.80,W 047 31 12.26
ASEPO,S 20 50 54.80,W 052 50 57.52
ASGAN,S 05 55 05.52,W 047 15 24.24
ASGAT,S 21 55 57.00,W 043 28 43.80
ASGEL,S 22 15 18.78,W 050 09 32.91
ASGOV,S 20 58 33.60,W 047 17 19.80
ASGUD,S 24 01 05.46,W 048 04 55.25
ASIGO,S 22 42 08.71,W 043 59 28.89
ASIKI,S 14 17 46.62,W 059 02 15.20
ASKAP,S 18 32 19.20,W 043 42 09.00
ASODA,S 21 46 52.69,W 051 02 42.41
ASOLA,S 09 47 42.00,W 070 58 22.80
ASONO,S 24 15 55.20,W 046 58 28.20
ASOXU,S 13 10 02.08,W 038 20 07.73
ASTOB,S 20 40 48.00,W 048 49 23.40
ASTRA,S 05 18 47.40,W 042 12 13.80
ASUGA,S 13 23 14.41,W 038 47 56.56
ASULO,S 23 28 24.78,W 045 54 44.26
ASUMA,S 31 52 03.00,W 054 09 19.20
ATAK,S 26 19 59.40,W 048 38 45.00
ATARI,S 26 43 39.00,W 052 13 43.20
ATARO,S 12 02 05.68,W 037 33 00.96
ATATU,N 02 02 01.20,W 067 44 40.20
ATEBU,S 20 22 17.89,W 040 02 47.76
ATEU,N 02 48 51.56,W 060 45 40.50
ATEVO,N 02 16 47.51,W 040 24 48.35
ATEVU,S 27 45 44.85,W 048 22 13.06
ATEXO,S 27 18 09.00,W 048 00 30.60
ATIGI,S 07 04 40.66,W 034 43 47.24
ATILI,S 22 41 57.68,W 047 34 19.23
ATIMI,S 18 37 05.00,W 042 31 16.00
ATIPU,S 19 02 28.20,W 044 00 22.80
ATNAS,S 20 10 04.20,W 055 18 14.40
ATOBA,S 22 54 48.42,W 046 30 20.88
ATOGU,S 06 38 59.58,W 050 11 40.96
ATORU,S 23 01 01.50,W 047 00 48.36
ATYLA,S 15 14 34.80,W 048 40 29.40
AUGUR,S 13 31 43.80,W 043 51 49.80
AULIC,S 24 45 54.00,W 050 48 21.00
AURIS,S 26 26 19.86,W 053 27 57.27
AURO,S 24 27 58.20,W 053 16 05.40
AU001,S 21 13 24.00,W 050 28 19.80
AU002,S 21 17 48.00,W 050 30 54.00
AU003,S 21 16 54.00,W 050 37 15.00
AU004,S 21 23 04.80,W 050 33 58.80
AU006,S 21 22 19.20,W 050 26 39.00
AU007,S 20 59 10.20,W 050 20 03.60
AU008,S 21 03 34.80,W 050 22 37.20
AU009,S 21 00 04.80,W 050 13 43.20
AU011,S 20 53 53.40,W 050 16 59.40
AU012,S 20 54 39.00,W 050 24 16.80
AVAN,S 27 03 22.80,W 052 45 32.40
AVILA,S 09 31 00.60,W 037 08 51.60
AVON,S 28 32 22.20,W 049 35 21.00
AVOS,S 22 08 10.20,W 041 37 09.60
AWAKE,S 22 08 14.40,W 042 34 23.40
AX359,S 19 38 03.47,W 046 53 01.26
AX361,S 19 37 39.60,W 046 53 27.00
AX362,S 19 41 11.40,W 046 49 41.40
AX363,S 19 44 43.20,W 046 45 55.20
AX364,S 19 45 45.00,W 046 51 54.60
AX366,S 19 39 03.00,W 046 44 54.00
AX367,S 19 22 48.00,W 047 09 15.60
AX368,S 19 21 46.90,W 047 03 16.40
AX369,S 19 28 27.60,W 047 10 17.70
AX371,S 19 26 20.00,W 047 05 30.10
AX372,S 19 29 52.10,W 047 01 44.60
AZOIC,S 10 09 37.55,W 047 42 03.79
AZOTE,S 11 50 02.40,W 037 50 27.00
BACO,S 28 29 43.80,W 052 20 13.20
BACON,S 19 09 19.85,W 047 08 56.32
BAKER,S 29 07 32.40,W 051 51 03.00
BAND,S 15 45 46.80,W 055 25 47.40
BANG,S 03 55 12.60,W 032 53 52.20
BANGU,S 07 35 48.00,W 038 27 15.00
BARA,S 18 01 42.60,W 049 01 27.60
BARCO,S 01 40 57.60,W 056 52 04.80
BAREF,S 09 47 40.80,W 048 15 48.00
BARGE,S 08 22 12.60,W 061 21 16.80
BARKA,S 07 57 46.20,W 044 10 54.00
BARU,S 21 15 25.80,W 049 19 06.00
BASAL,S 04 00 18.00,W 060 01 03.60
BASIL,S 06 05 37.80,W 040 13 36.60
BBC09,S 21 15 38.67,W 043 45 57.61
BBC11,S 21 16 32.09,W 043 45 35.82
BCO01,S 23 29 11.55,W 046 40 38.47
BCO02,S 23 25 55.81,W 046 27 30.59
BCO03,S 23 26 12.46,W 046 29 15.70
BCO04,S 23 28 20.16,W 046 36 28.79
BELI,S 24 51 10.80,W 053 16 57.60
BELIC,S 27 35 56.52,W 049 08 48.12
BELIS,S 22 53 41.50,W 042 56 11.55
BENE,S 00 14 21.00,W 066 33 07.80
BENO,S 30 20 06.60,W 051 29 12.00
BERLI,S 23 38 37.20,W 052 03 13.20
BERNA,S 11 21 03.60,W 050 31 57.60
BERTI,S 07 54 46.20,W 039 26 21.60
BETAR,S 12 01 18.60,W 046 53 27.60
BETEL,S 23 06 09.00,W 047 58 15.60
BE026,S 01 28 26.35,W 048 29 03.42
BE027,S 01 33 26.72,W 048 29 29.08
BE028,S 01 38 27.09,W 048 29 54.75
BE029,S 01 34 45.22,W 048 34 18.32
BE031,S 01 35 33.68,W 048 24 57.37
BE032,S 01 07 25.52,W 048 27 15.72
BE363,S 01 15 11.00,W 048 20 53.50
BE367,S 01 30 18.60,W 048 36 13.80
BE368,S 01 26 47.40,W 048 32 39.60
BE369,S 01 07 25.10,W 048 27 26.60
BE371,S 01 17 25.80,W 048 28 08.40
BE372,S 01 38 27.50,W 048 29 49.80
BE373,S 01 33 27.00,W 048 29 25.80
BE374,S 01 27 26.40,W 048 28 56.90
BE377,S 01 35 32.50,W 048 24 53.40
BE378,S 01 18 42.00,W 048 24 27.60
BE386,S 01 10 55.80,W 048 16 38.40
BE387,S 01 17 46.20,W 048 15 28.80
BE388,S 01 34 47.10,W 048 34 14.60
BE389,S 01 34 33.60,W 048 40 28.80
BE391,S 01 12 25.80,W 048 27 44.40
BE392,S 01 27 43.20,W 048 41 38.40
BE393,S 01 35 47.40,W 048 33 44.40
BE394,S 01 27 26.40,W 048 33 17.90
BE396,S 01 39 27.00,W 048 30 00.00
BE401,S 01 06 25.20,W 048 27 10.20
BE402,S 01 10 51.60,W 048 21 57.60
BE403,S 01 09 52.80,W 048 33 10.20
BE411,S 01 09 42.00,W 048 23 22.80
BH002,S 20 12 37.20,W 043 57 34.20
BH003,S 20 03 01.80,W 044 06 10.20
BH004,S 20 00 40.80,W 044 13 10.80
BH006,S 19 55 55.20,W 044 27 16.20
BH008,S 19 38 03.00,W 043 35 32.40
BH009,S 19 22 46.80,W 043 49 40.80
BH011,S 19 16 43.20,W 043 55 16.80
BH013,S 19 38 22.20,W 044 18 12.00
BH014,S 19 32 43.80,W 044 21 26.40
BH018,S 20 11 40.80,W 044 06 25.20
BH019,S 20 01 06.60,W 044 07 52.20
BH021,S 19 46 13.20,W 044 07 25.20
BH023,S 20 10 37.80,W 043 41 11.40
BH024,S 19 40 12.00,W 043 23 16.80
BH026,S 20 05 37.20,W 043 24 51.60
BH028,S 20 05 22.20,W 044 15 10.80
BH032,S 19 49 12.00,W 043 20 03.60
BH033,S 19 56 10.80,W 043 29 19.80
BH034,S 20 29 48.00,W 043 27 27.00
BH036,S 20 13 55.80,W 043 34 45.00
BH038,S 19 57 15.60,W 043 57 33.60
BH039,S 20 21 00.00,W 044 10 31.20
BH041,S 20 11 38.40,W 043 57 39.60
BH042,S 19 16 54.00,W 044 03 18.00
BH043,S 19 27 11.40,W 044 15 04.80
BH044,S 19 48 26.40,W 044 22 09.00
BH081,S 19 17 21.60,W 042 43 22.80
BH082,S 19 33 04.80,W 043 40 09.00
BH083,S 20 51 33.00,W 043 17 24.00
BIDEV,S 16 14 01.80,W 038 58 20.40
BIGOD,S 09 40 40.20,W 067 12 49.80
BILUX,S 05 49 08.40,W 026 13 45.60
BINAS,S 02 43 58.80,W 060 51 06.00
BINO,S 15 58 29.40,W 051 56 19.80
BISOL,S 20 16 33.31,W 044 19 57.39
BISSA,S 08 50 42.00,W 040 50 13.80
BITA,S 03 31 30.00,W 064 25 25.20
BITAK,S 23 37 48.60,W 043 38 16.80
BITE,S 20 33 40.20,W 049 03 21.00
BITID,S 22 56 38.29,W 046 53 53.93
BITIG,S 05 26 04.84,W 048 50 19.61
BITIT,S 17 35 14.23,W 050 31 50.91
BITO,S 12 22 41.40,W 060 11 05.40
BITOV,S 27 43 23.00,W 049 21 32.00
BITOX,S 10 37 55.68,W 048 20 17.40
BITU,S 03 13 54.60,W 058 09 27.00
BITUR,S 24 55 52.80,W 054 55 29.40
